Method, Sample size, Current Sample, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 199, 194, 194, 48224, 3632, 1.611250400543213, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 200, 195, 195, 48510, 3641, 2.0460097789764404, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 201, 195, 195, 48730, 3643, 1.6118805408477783, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 202, 196, 196, 49016, 3685, 2.505354881286621, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 203, 197, 197, 49214, 3686, 1.146963119506836, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 204, 198, 198, 49412, 3692, 1.454092264175415, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 205, 198, 198, 49621, 3693, 1.4473850727081299, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 206, 199, 199, 49896, 3695, 1.5699269771575928, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 207, 200, 200, 50138, 3705, 1.7599327564239502, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 208, 201, 201, 50435, 3713, 1.8630754947662354, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 209, 202, 202, 50633, 3715, 1.3888773918151855, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 210, 203, 203, 50908, 3733, 2.1104252338409424, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 211, 204, 204, 51106, 3742, 1.479783296585083, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 212, 205, 205, 51370, 3749, 1.72446870803833, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 213, 206, 206, 51568, 3764, 1.6519701480865479, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 214, 207, 207, 51766, 3771, 1.5530219078063965, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 215, 208, 208, 52052, 3823, 2.403085947036743, 
